                   ,WHO Region,WHO Region.1,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
,,,,,,,,,,,,,,,,,60.71%,66.49%,Global Average,53.02%,Global Average,68.22%,Global Average,65.15%,,,Global Average,71.92%,,,5-14 years,1-4 years,5-14 years,1-4 years,5-14 years,1-4 years,5-14years,,,36.09%,,50.95%,,42.67%,Original,Estimated,Original,39.98%,Original,48.76%,Original,62.22%,Original,77.52%,Original,40.62%,Original,93.90%,Original,87.74%,Original,84.80%,Original,70.52%,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,848.08,"6,819.48",0.00,"1,323.42",292.16,"1,475.22",115.92,0.14,"100,726.73",516.54,"111,026.28",430.97
Afghanistan,EMR,"33,736,494",0.0,0.0,11.4,64.0,165.8,88.8,293.9,978.5,3831.7,6286.5,14783.2,0,,,,14.95%,,65.90%,100.00%,100.00%,79.65%,79.65%,,,,45.86%,0.00%,0.00%,0.00%,2.63%,8.64%,1.37%,1.73%,22.36%,26.82%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Albania,EUR,"2,880,703",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Algeria,AFR,"39,871,528",0.0,808.0,0.1,0.4,3.3,7.9,26.0,164.0,30.5,28.3,112.2,0,,,,62.28%,,51.41%,,76.05%,,68.22%,,,,65.07%,0.00%,0.08%,0.01%,1.08%,3.42%,0.30%,0.37%,2.00%,2.31%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
American Samoa,WPR,"55,537",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1172.329624,,,53.23%,,78.35%,,35.94%,,53.47%,,,,71.92%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Andorra,EUR,"78,014",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Angola,AFR,"27,859,305",12861.6,18637.1,7.3,41.5,104.7,1013.6,3074.8,10990.5,1573.2,255.7,1915.1,9026.7,"471,561",89235,5.28%,5.28%,25.85%,25.85%,,76.05%,38.72%,38.72%,"5,561,326.00","231,106",4.16%,4.16%,1.71%,6.62%,1.15%,2.28%,8.00%,7.00%,8.49%,6.73%,8.00%,0.59%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,3.477525916,5319.627,,,,,,,,,0.06407526119
Anguilla,AMR,"14,723",,,,,,,,,,,,,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Antigua and Barbuda,AMR,"99,923",0.0,4.9,0.0,0.0,0.0,0.0,0.2,1.6,0.1,0.0,0.1,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.43%,0.01%,1.39%,4.39%,0.67%,0.81%,1.99%,2.28%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Argentina,AMR,"43,417,765",0.0,0.0,0.1,0.8,3.5,32.1,122.0,910.1,16.0,21.3,91.3,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.65%,4.77%,1.00%,1.10%,1.65%,1.73%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Armenia,EUR,"2,916,950",0.0,0.0,0.0,0.0,0.0,2.6,4.7,38.5,0.2,0.1,0.5,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,1.40%,4.48%,1.00%,1.23%,1.21%,1.41%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Aruba,AMR,"104,341",,,,,,,,,,,,,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Australia,WPR,"23,789,338",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,53.23%,,78.35%,,35.94%,,53.47%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Austria,EUR,"8,633,169",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Azerbaijan,EUR,"9,649,341",0.0,0.0,0.0,0.0,0.0,3.6,14.7,139.9,3.4,2.4,9.9,0,,,,66.49%,,53.02%,,FALSE,52.79%,52.79%,,,,71.92%,0.00%,0.00%,0.00%,1.41%,4.49%,1.08%,1.33%,1.31%,1.53%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bahamas,AMR,"386,838",0.0,,0.0,0.0,0.0,0.0,0.3,3.7,0.1,0.1,0.3,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.27%,4.01%,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bahrain,EMR,"1,371,855",0.0,0.0,0.0,0.0,0.0,0.2,0.4,8.9,0.0,0.0,0.0,0,,,,14.95%,,65.90%,,97.54%,,41.45%,,,,45.86%,0.00%,0.00%,0.00%,0.98%,3.13%,0.27%,0.34%,1.55%,1.81%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bangladesh,SEA,"161,200,886",0.0,0.0,525.5,3933.8,18084.3,544.8,2338.8,13289.0,14829.2,41590.6,125331.4,0,"2,638,16",,,72.21%,,28.06%,,93.73%,95.36%,95.36%,,,,71.92%,1.72%,0.00%,0.00%,6.50%,21.58%,1.55%,1.96%,41.27%,49.68%,0.00%,,47.82%,,58.32%,,14.00%,,94.9%,,53.94%,,37.87%,,59.76%,,71.33%,,20.50%,,83.00%,,100.00%,,84.80%,,78.08%,1,0,0,1,1001,MDA1/2,IVM+ALB or DEC+ALB,,lf+sth,0,0,,934.224921,,1168.296437,114.6691476,,99870.82016,,111026.2839,
Barbados,AMR,"284,217",0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.8,0.0,0.0,0.0,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.28%,4.04%,0.88%,1.05%,1.17%,1.33%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Belarus,EUR,"9,489,616",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Belgium,EUR,"11,274,196",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Belize,AMR,"359,288",0.0,0.0,0.0,0.0,0.9,0.7,2.0,14.5,1.4,0.5,5.2,0,,,,64.51%,,0.25%,100.00%,100.00%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.85%,5.92%,0.74%,0.90%,5.02%,5.80%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Benin,AFR,"10,575,952",3472.5,24750.6,22.2,141.2,390.4,330.0,1090.5,3768.5,1635.2,283.9,2068.6,3005.7,"7,34","1,980,880",81.59%,81.59%,45.05%,45.05%,,76.05%,86.81%,86.81%,"5,865,389.00","4,309,310.00",73.47%,73.47%,0.62%,22.53%,4.75%,2.21%,7.23%,8.95%,11.31%,5.57%,6.70%,0.37%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,6.804083182,15624.232,,,,,,,,,0.5927441938
Bermuda,AMR,"65,235",0.0,0.0,0.0,0.1,0.3,0.0,0.1,1.2,0.0,0.0,0.1,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.13%,3.57%,0.69%,0.83%,0.85%,0.98%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bhutan,SEA,"787,386",0.0,0.0,0.0,0.2,1.5,3.5,8.2,36.5,4.0,6.5,26.3,0,,,,72.21%,,28.06%,79.94%,79.94%,96.58%,96.58%,,,,71.92%,0.00%,0.00%,0.00%,2.91%,9.73%,1.37%,1.75%,9.34%,11.38%,0.00%,,47.82%,,58.32%,,14.00%,,94.9%,,53.94%,,37.87%,,59.76%,,71.33%,,20.50%,,83.00%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bolivia,AMR,"10,724,705",0.0,0.0,1.2,7.3,41.0,26.0,59.5,307.4,62.4,33.5,126.6,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.90%,6.08%,0.51%,0.63%,2.71%,3.19%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,33.30%,33.30%,60.00%,60.00%,,79.60%,81.80%,81.80%,17.20%,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",AMR,,,,,,,,,,,,,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Bosnia and Herzegovina,EUR,"3,535,961",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Botswana,AFR,"2,209,197",0.0,789.5,0.0,0.0,0.0,24.7,0.0,0.0,2.8,1.1,4.5,0,,,,62.28%, , ,100.00%,100.00%,23.22%,23.22%,,,,65.07%,0.00%,3.99%,0.42%,1.35%,4.29%,3.25%,3.97%,0.35%,0.41%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,,,,,,,,,,0
Brazil,AMR,"205,962,108",1.1,79049.7,86.3,736.1,3249.7,314.0,108.2,683.5,545.1,952.4,3681.6,0,72, , , ,0.25%,0.25%,,56.88%,75.28%,75.28%,"15,475.00","11,460.00",74.05%,74.05%,0.00%,4.44%,0.06%,1.62%,5.01%,1.09%,1.27%,2.10%,2.37%,0.00%,42.60%,42.60%,57.90%,57.90%,,75.75%,,91.70%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,,181.638,,,,,,,,,0
British Virgin Islands,AMR,"30,113",,,,,,,,,,,,,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Brunei Darussalam,WPR,"417,542",13.9,0.0,0.0,0.0,0.0,0.0,,,0.2,0.1,0.5,0,63, , , ,,78.35%,,35.94%,,53.47%,,,,71.92%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,,,,,,,,,,,,
Bulgaria,EUR,"7,177,991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Burkina Faso,AFR,"18,110,624",37535.2,14273.0,0.0,0.0,0.0,378.0,1091.4,3531.1,1039.6,66.4,1131.8,72.9,"529,42","4,229,398",76.48%,76.48%,92.59%,92.59%,,76.05%,,68.22%,"260,001.00","230,153.00",88.52%,88.52%,2.54%,1.27%,0.24%,1.82%,6.09%,5.38%,6.92%,15.28%,18.73%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,277.0472965,55469.817,,,,,,,,,0.00009195513387
Burundi,AFR,"10,199,270",0.0,7831.8,41.4,5.2,892.3,542.7,1245.8,9846.7,1907.0,225.2,3140.6,16362.1,,,,62.28%,62.64%,62.64%,82.80%,82.80%,99.97%,99.97%,"1,737,426.00","1,437,189.00",82.72%,82.72%,0.00%,4.06%,0.86%,5.16%,17.01%,10.40%,13.21%,11.99%,14.51%,2.40%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,9122.996,,,,,,,,,29.63508136
Cambodia,WPR,"15,517,635",0.0,4086.4,0.0,0.0,0.0,60.9,191.1,905.8,30.9,19.1,80.9,0,,,,53.23%,89.82%,89.82%,93.33%,93.33%,91.82%,91.82%,,,,71.92%,0.00%,0.00%,0.00%,1.66%,5.50%,2.12%,2.69%,16.89%,20.38%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,23597.699,,,,,,,,,0
Cameroon,AFR,"22,834,522",50841.0,27604.4,112.0,557.8,3925.0,493.1,1591.3,6205.1,3036.0,897.2,5552.6,101631,"1,292,163","6,440,400",59.67%,59.67%,63.32%,63.32%,100.00%,100.00%,78.39%,78.39%,"9,909,128.00","7,540,235.00",76.09%,76.09%,4.78%,8.60%,1.87%,2.26%,7.37%,4.77%,5.97%,5.79%,6.88%,5.26%,,31.23%,,40.00%,,29.43%,,97.88,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,100.00%,100.00%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,517.5195041,44899.398,,,,,,,,,314.7241855
Canada,AMR,"35,848,610",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cape Verde,AFR,"532,913",0.0,0.0,0.0,0.0,0.0,1.3,3.6,18.1,0.8,0.2,1.1,0,,,,62.28%,,51.41%,72.14%,72.14%,72.14%,72.14%,,,,65.07%,0.00%,0.00%,0.00%,1.78%,5.51%,1.99%,2.36%,3.11%,3.50%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Cayman Islands,AMR,"59,963",,,,,,,,,,,,,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
